0,0,0,0,0
1,1,1.0543e+08,1.4175e+08,1.4125e+08
1,1,1.6256e+05,80702,1.5244e+05
1,1,76744,69758,71262
1,1,61870,66356,45576
1,1,49667,50351,45127
1,1,37256,34474,51498
1,1,43565,32677,48334
1,1,56875,46155,52264
1,1,1.4088e+06,3.2163e+05,1.233e+06
1,1,4.5784e+06,6.4366e+05,2.0616e+06
1,1,3.3236e+06,3.788e+05,9.0289e+05
1,1,1.027e+05,52987,44757
1,1,64884,49178,43591
1,1,63839,51907,45305
1,1,73205,52456,50459
1,1,80254,59130,67192
1,1,1.2883e+05,77984,1.1089e+05
1,1,8.2033e+05,1.9248e+05,5.7341e+05
1,1,7.9998e+06,1.8977e+06,6.0937e+06
1,1,1.8336e+07,3.3507e+06,1.3475e+07
1,1,1.3609e+07,1.8948e+06,1.0025e+07
1,1,2.7707e+06,3.4695e+05,2.2889e+06
1,1,3.5965e+05,1.0949e+05,2.8131e+05
1,1,1.6558e+05,89860,1.3877e+05
1,1,1.8234e+05,94931,1.3015e+05
1,1,1.7554e+05,1.0037e+05,1.3832e+05
1,1,1.881e+05,1.0828e+05,1.5861e+05
1,1,5.8568e+05,2.3827e+05,6.6249e+05
1,1,1.8822e+06,5.5786e+05,2.3911e+06
1,1,3.6555e+06,6.8674e+05,4.114e+06
1,1,3.7561e+06,4.3424e+05,3.4891e+06
1,1,1.7376e+06,2.1692e+05,1.3586e+06
1,1,3.2828e+05,1.6816e+05,2.8807e+05
1,1,1.496e+05,1.4465e+05,1.6166e+05
1,1,1.6221e+05,1.6479e+05,1.3457e+05
1,1,1.8263e+05,2.0679e+05,1.4562e+05
1,1,3.7446e+05,4.3859e+05,2.7268e+05
1,1,1.1947e+06,1.2213e+06,7.5842e+05
1,1,2.3322e+06,2.6009e+06,1.5779e+06
1,1,3.0688e+06,3.7531e+06,2.1747e+06
1,1,2.6778e+06,3.2806e+06,1.7012e+06
1,1,1.5656e+06,1.7552e+06,8.3621e+05
1,1,6.7924e+05,6.9636e+05,4.1731e+05
1,1,2.7268e+05,2.9247e+05,2.073e+05
1,1,2.1282e+05,1.9345e+05,1.587e+05
1,1,2.7527e+05,2.395e+05,1.9432e+05
1,1,6.0701e+05,4.3433e+05,2.618e+05
1,1,1.2598e+06,7.3348e+05,4.386e+05
1,1,1.8508e+06,1.4136e+06,7.6252e+05
1,1,2.3233e+06,2.1486e+06,1.1627e+06
1,1,1.9672e+06,1.7499e+06,1.1247e+06
1,1,1.1192e+06,9.8586e+05,7.585e+05
1,1,6.5473e+05,5.809e+05,4.5558e+05
